Rainfall,Temperature,pH,Crop
143.63502971184062,31.050791153857194,5.706247737671865,Soybean
287.67857660247904,17.103499124876222,7.305105813359133,Rice
232.99848545285127,19.040717852365344,6.510504744895714,Barley
199.66462104925915,37.463854713176985,7.1529149322154835,Rice
89.00466011060914,30.160726491489747,6.140099202061224,Soybean
88.99863008405066,15.229926290415742,7.291046456992401,Soybean
64.52090304204987,17.536788571650803,6.278403357468326,Wheat
266.54403644373383,31.587544227701397,5.521675302960597,Soybean
200.2787529358022,15.126539596155467,7.310763952838528,Wheat
227.01814444901137,19.020201285437466,5.682573353572267,Barley
55.14612357395061,28.718344734164653,6.13862727518083,Rice
292.4774630404986,32.297379942317335,7.40012393410161,Rice
258.11066020010543,31.299031487565014,7.401214293875112,Wheat
103.08477766956904,20.606732736513994,6.646875776246572,Rice
95.45624180177515,32.8044805336884,6.763674424339598,Soybean
95.85112746335845,20.931227187420003,6.396891043956639,Corn
126.06056073988444,23.134992453981695,6.0864215433961295,Wheat
181.18910790805947,33.662285127950604,6.157329090739832,Rice
157.98625466052894,31.240822476180366,6.845036912154077,Wheat
122.80728504951048,36.23058526235445,7.00474905887536,Wheat
202.96322368059487,31.440322307508584,7.083158087451697,Corn
84.87346516301045,29.20771508338679,7.079236285589108,Soybean
123.03616213380454,17.341869195702312,5.68241220609738,Wheat
141.59046082342292,24.19289507648584,6.4888406094051625,Rice
164.01749605425897,21.630059192043134,5.615117520033289,Barley
246.2939903482534,21.09974108447709,6.599057764647471,Wheat
99.91844553958992,39.325263868811135,6.383061002746754,Wheat
178.5586096034029,24.82744311666901,7.2754083655166,Corn
198.1036422155106,37.30116387942783,6.201830025104157,Soybean
61.61260317999943,30.778465649931572,5.734134032855212,Barley
201.8862129753596,34.870282588541215,5.785983364105672,Rice
92.63103092182288,27.5659273276298,7.023021263434945,Barley
66.26289824631988,29.422597115658977,6.736436126632523,Rice
287.2213843133333,27.312942345471598,5.702245352245581,Soybean
291.40800826863983,19.881074694951113,5.668213612229994,Rice
252.09933702911528,33.06130288153763,6.9019382629182395,Corn
126.15344229334268,22.019309061021396,5.6455260127283875,Corn
74.41802850159597,15.607899160786346,7.143720118580712,Corn
